stratum	group	n_regions	mean	median	sd
43	FOXA2 only	100	0.08540847	0.084832524	0.0028239484
43	HNF4A + FOXA2	100	0.085133737	0.084932806	0.0025400768
43	HNF4A only	100	0.084763788	0.084040499	0.0026789002
43	No HNF4A/FOXA2	100	0.085601777	0.085586682	0.0028371791
44	FOXA2 only	100	0.096205156	0.096419239	0.003479899
44	HNF4A + FOXA2	100	0.096280673	0.096798198	0.003433478
44	HNF4A only	100	0.095524263	0.095545728	0.0033367318
44	No HNF4A/FOXA2	100	0.096191494	0.096388399	0.0036600204
45	FOXA2 only	100	0.10896041	0.10912069	0.0039471829
45	HNF4A + FOXA2	100	0.10805739	0.10808029	0.0042028958
45	HNF4A only	100	0.10926787	0.10958584	0.0039388662
45	No HNF4A/FOXA2	100	0.10845923	0.10858132	0.0043212459
46	FOXA2 only	100	0.12438947	0.12448591	0.0054205073
46	HNF4A + FOXA2	100	0.12463121	0.12425133	0.0055728724
46	HNF4A only	100	0.12484912	0.12500514	0.0050565408
46	No HNF4A/FOXA2	100	0.12427142	0.12404942	0.0051542973
47	FOXA2 only	100	0.14460579	0.1438176	0.0070574657
47	HNF4A + FOXA2	100	0.14702826	0.14730276	0.0069417305
47	HNF4A only	100	0.14629058	0.14632786	0.007492561
47	No HNF4A/FOXA2	100	0.14690401	0.14733134	0.0072744095
48	FOXA2 only	100	0.18106972	0.18110875	0.012980061
48	HNF4A + FOXA2	100	0.17937678	0.17742777	0.013420442
48	HNF4A only	100	0.17957369	0.17763276	0.011495621
48	No HNF4A/FOXA2	100	0.17663752	0.17567747	0.012223671
49	FOXA2 only	100	0.27711052	0.25836312	0.071387547
49	HNF4A + FOXA2	100	0.27785223	0.252491	0.080475444
49	HNF4A only	100	0.28238706	0.25319557	0.089190115
49	No HNF4A/FOXA2	100	0.26344265	0.24654758	0.063692979
